[01483946][I] gp_test   cmd: t appc settings dump
[01483946][I] settings  [T:   12] settings_dump:12319 [MTIM] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [MTev] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [MTWB] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [MNRs] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [MNRT] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [MNSM] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [MNPR] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [MNPc] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [MNPs] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [MNPI] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [MNIM] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [MNev] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [MNWB] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [LVOL] = 64
[01483946][I] settings  [T:   12] settings_dump:12319 [PBVL] = 32
[01483946][I] settings  [T:   12] settings_dump:12319 [WLOL] = 1
[01483946][I] settings  [T:   12] settings_dump:12319 [BDSM] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [BLSM] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [BRes] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [BFps] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [BFOV] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [BRRS] = 9
[01483946][I] settings  [T:   12] settings_dump:12319 [BRFS] = 5
[01483946][I] settings  [T:   12] settings_dump:12319 [BRFV] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [BPRI] = 3
[01483946][I] settings  [T:   12] settings_dump:12319 [DAPM] = c
[01483946][I] settings  [T:   12] settings_dump:12319 [SOSD] = 1
[01483946][I] settings  [T:   12] settings_dump:12319 [BVOL] = 55
[01483946][I] settings  [T:   12] settings_dump:12319 [SAPd] = 4
[01483946][I] settings  [T:   12] settings_dump:12319 [SLED] = 2
[01483946][I] settings  [T:   12] settings_dump:12319 [SQCP] = 1
[01483946][I] settings  [T:   12] settings_dump:12319 [ORIM] = 1
[01483946][I] settings  [T:   12] settings_dump:12319 [SLBr] = 32
[01483946][I] settings  [T:   12] settings_dump:12319 [SLsp] = 1
[01483946][I] settings  [T:   12] settings_dump:12319 [SLLK] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [SLCD] = 1
[01483946][I] settings  [T:   12] settings_dump:12319 [SLVC] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [SGPS] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [VFMT] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [LANG] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [APRO] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [AOPT] = 2
[01483946][I] settings  [T:   12] settings_dump:12319 [APOP] = 3
[01483946][I] settings  [T:   12] settings_dump:12319 [BTOL] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [QCSP] = c
[01483946][I] settings  [T:   12] settings_dump:12319 [QCLP] = 14
[01483946][I] settings  [T:   12] settings_dump:12319 [VSFM] = c
[01483946][I] settings  [T:   12] settings_dump:12319 [PSFM] = 11
[01483946][I] settings  [T:   12] settings_dump:12319 [TSFM] = 18
[01483946][I] settings  [T:   12] settings_dump:12319 [GTRM] = 1
[01483946][I] settings  [T:   12] settings_dump:12319 [VCLN] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [HDOB] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [TFMT] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [DISE] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [PNRA] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [MTHR] = ffffffff
[01483947][I] settings  [T:   12] settings_dump:12319 [MTRA] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [MNRW] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [SASl] = 3
[01483947][I] settings  [T:   12] settings_dump:12319 [CDTF] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [PPET] = ffffffff
[01483947][I] settings  [T:   12] settings_dump:12319 [VVIM] = 8
[01483947][I] settings  [T:   12] settings_dump:12319 [WLBD] = 1
[01483947][I] settings  [T:   12] settings_dump:12319 [WWOV] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [PCET] = ffffffff
[01483947][I] settings  [T:   12] settings_dump:12319 [CFMT] = 1
[01483947][I] settings  [T:   12] settings_dump:12319 [RSV1] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [VVAR] = 1
[01483947][I] settings  [T:   12] settings_dump:12319 [VLAR] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [VTAr] = 1
[01483947][I] settings  [T:   12] settings_dump:12319 [BCAR] = 1
[01483947][I] settings  [T:   12] settings_dump:12319 [Vtwr] = ffffffff
[01483947][I] settings  [T:   12] settings_dump:12319 [VTWf] = ffffffff
[01483947][I] settings  [T:   12] settings_dump:12319 [VTWV] = ffffffff
[01483947][I] settings  [T:   12] settings_dump:12319 [VTWa] = ffffffff
[01483947][I] settings  [T:   12] settings_dump:12319 [VTWS] = ffffffff
[01483947][I] settings  [T:   12] settings_dump:12319 [BLLt] = 1
